year,bank_branches_count,employment,number_of_banks_uk,free_atm_count,transaction_fee_atm_count,total_atm_count
2000,19169,527870,355,28500,2970,31470
2001,18599,518281,352,29254,7056,36310
2002,18030,508691,350,31742,10318,42060
2003,17460,499102,347,32238,15279,47517
2004,16890,489513,346,33041,21854,54895
2005,15640,479923,335,33085,24823,57908
2006,15280,470334,335,34545,26309,60854
2007,15595,460744,335,36918,27062,63980
2008,15820,451155,338,38565,25335,63900
2009,14590,441565,336,39991,23111,63102
2010,13512,431976,332,41581,21687,63268
2011,12433,422386,327,43889,21179,65068
2012,11355,417918,311,45634,20395,66029
2013,11335,403442,311,47715,19782,67497
2014,10960,391247,317,50154,18844,68998
2015,10745,380546,311,52763,17825,70588
2016,10340,378568,312,53923,16097,70020
2017,9690,365435,313,54599,14011,68610
2018,9090,348143,321,52040,11120,63160
2019,8525,341164,311,45355,15307,60662
2020,7675,332988,313,41727,12847,54574
2021,6965,336993,311,40942,12456,53398
2022,6637,316902,294,39429,10871,50300
2023,6067,307313,281,37299,10412,47711
2024,5498,297723,273,35468,9101,44569
2025,4928,288134,288,33699,8693,42392
