year,remote_purchase_(cnp),--_of_which:_e-commerce,counterfeit_card,lost_and_stolen_card,card_id_theft,card_non-receipt,total_card_fraud,fraud_in_the_uk,fraud_abroad
2012,247.3,139.6,42.3,55.4,32.6,12.8,390.4,288.4,102.0
2013,301.0,140.2,43.3,58.9,36.7,10.4,450.2,328.2,122.0
2014,331.5,190.1,47.8,59.7,30.0,10.1,479.0,328.7,150.3
2015,398.4,219.1,45.7,74.1,38.2,11.7,568.1,379.7,188.4
2016,432.3,261.5,36.9,96.3,40.0,12.5,618.1,417.9,200.1
2017,408.4,310.3,24.2,92.9,29.8,10.2,565.4,407.5,158.0
2018,506.4,310.4,16.3,95.1,47.3,6.3,671.4,496.6,174.8
2019,470.2,360.5,12.8,94.8,37.7,5.2,620.6,449.9,170.7
2020,452.6,377.2,8.7,78.9,29.7,4.4,574.2,414.5,159.7
2021,412.5,339.2,4.7,77.2,26.3,3.9,524.4,384.0,140.5
2022,395.7,285.2,4.7,100.2,51.7,4.0,556.3,416.2,140.1
2023,360.5,,4.7,104.0,79.1,3.0,551.3,416.8,134.5
2024,399.6,,3.9,107.5,58.7,2.9,572.6,418.4,154.2
