brand,year,personal:_same_day,personal:_avg_days,personal:_99%_days
Aib,2019,,,
Aib,2020,,,
Aib (Ni),2020,0.88,1.0,8.0
Aib (Ni),2026,0.67,1.0,10.0
B,2019,0.83,1.0,18.0
Bank Of Ireland,2019,0.72,1.0,6.0
Bank Of Ireland,2020,0.35,5.0,29.0
Bank Of Ireland,2026,0.06,3.0,20.0
Bank Of Scotland,2019,0.98,0.0,1.0
Bank Of Scotland,2020,0.96,0.0,2.0
Bank Of Scotland,2026,1.0,0.0,0.0
Barclays,2019,0.86,1.0,8.0
Barclays,2020,0.87,1.0,11.0
Barclays,2026,0.92,1.0,11.0
Cater Allen Private Bank,2019,,,
Cater Allen Private Bank,2020,,,
Cater Allen Private Bank,2026,,,
Chase,2026,0.96,1.0,5.0
Clydesdale Bank,2019,0.88,1.0,13.0
Clydesdale Bank,2020,0.79,2.0,23.0
The Co-Operative Bank,2019,0.0,6.0,26.0
The Co-Operative Bank,2020,0.0,5.0,23.0
The Co-Operative Bank,2026,0.0,4.0,16.0
Danske Bank,2019,0.17,7.0,11.0
Danske Bank,2020,0.1,9.0,49.0
Danske Bank,2026,0.22,2.0,16.0
First Direct,2019,0.0,7.0,38.0
First Direct,2020,0.0,7.0,32.0
First Direct,2026,0.57,1.0,18.0
First Trust Bank,2019,0.85,1.0,10.0
First Trust Bank,2020,,,
Halifax,2019,0.97,0.0,2.0
Halifax,2020,0.95,0.0,3.0
Halifax,2026,1.0,0.0,0.0
Handelsbanken,2019,,,
Handelsbanken,2020,,,
Handelsbanken Plc,2026,,,
Hsbc Uk,2019,0.56,1.0,12.0
Hsbc Uk,2020,0.29,2.0,27.0
Hsbc Uk,2026,0.92,1.0,1.0
Lloyds Bank,2019,0.97,0.0,2.0
Lloyds Bank,2020,0.93,0.0,3.0
Lloyds Bank,2026,1.0,0.0,0.0
M&S Bank,2019,0.1,15.0,45.0
M&S Bank,2020,0.13,4.0,28.0
Metro Bank,2019,0.95,0.0,5.0
Metro Bank,2020,0.97,0.0,4.0
Metro Bank,2026,0.93,0.0,5.0
Monzo Bank,2019,0.95,1.0,11.0
Monzo Bank,2020,0.91,1.0,9.0
Monzo Bank,2026,0.99,1.0,6.0
Nationwide Building Society,2019,1.0,0.0,0.0
Nationwide Building Society,2020,1.0,0.0,0.0
Nationwide Building Society,2026,0.24,6.0,11.0
Natwest,2019,0.0,1.0,1.0
Natwest,2020,0.0,1.0,1.0
Natwest,2026,0.0,1.0,1.0
Royal Bank Of Scotland,2019,0.0,1.0,1.0
Royal Bank Of Scotland,2020,0.0,1.0,1.0
Royal Bank Of Scotland,2026,0.0,1.0,1.0
Santander,2019,0.82,0.0,6.0
Santander,2020,0.66,1.0,9.0
Santander,2026,0.66,1.0,7.0
Smile,2019,0.0,5.0,32.0
Smile,2020,0.0,5.0,23.0
Smile,2026,0.0,4.0,23.0
Starling Bank,2019,1.0,1.0,1.0
Starling Bank,2020,1.0,1.0,1.0
Starling Bank,2026,0.98,1.0,4.0
Tesco Bank,2019,0.0,7.0,7.0
Tesco Bank,2026,0.0,7.0,6.0
Tsb,2019,0.93,0.0,3.0
Tsb,2020,0.7,3.0,23.0
Tsb,2026,0.8,1.0,8.0
Ulster Bank,2019,0.0,3.0,5.0
Ulster Bank,2020,0.0,1.0,1.0
Ulster Bank,2026,0.0,1.0,1.0
Virgin Money,2020,0.65,2.0,16.0
Virgin Money,2026,0.79,1.0,15.0
Yorkshire Bank,2019,0.84,1.0,17.0
Yorkshire Bank,2020,0.8,2.0,19.0
